id before_type
140352 TREATMENT_EVENT
141496 FIRST
139206 FIRST
137897 FIRST
139205 FIRST
138001 FIRST
138164 FIRST
139015 FIRST
138779 FIRST
138476 FIRST
139141 FIRST
137986 FIRST
138477 CONDITION_EVENT
137980 FIRST
139294 TREATMENT_EVENT
138474 FIRST
138556 FIRST
137877 FIRST
139016 FIRST
139381 CONDITION_EVENT
139208 CONDITION_EVENT
137975 CONDITION_EVENT
137996 FIRST
139380 FIRST
137985 FIRST
139291 FIRST
138166 FIRST
139293 FIRST
138002 FIRST
139383 CONDITION_EVENT
138445 FIRST
138075 CONDITION_EVENT
139207 FIRST
138446 FIRST
138167 TREATMENT_EVENT
139292 FIRST
137898 CONDITION_EVENT
138782 CONDITION_EVENT
138007 CONDITION_EVENT
138073 FIRST
139382 FIRST
137987 CONDITION_EVENT
138781 FIRST
138475 FIRST
138008 FIRST
137879 FIRST
138074 CONDITION_EVENT
139142 CONDITION_EVENT
138009 CONDITION_EVENT
139014 FIRST
138555 FIRST
137878 FIRST
137997 CONDITION_EVENT
139017 CONDITION_EVENT
137998 FIRST
138780 CONDITION_EVENT
138165 CONDITION_EVENT
119145 FIRST
119042 FIRST
119161 FIRST
119153 FIRST
119518 FIRST
119156 FIRST
119043 FIRST
119164 FIRST
119093 FIRST
120164 FIRST
119146 FIRST
119357 FIRST
119359 FIRST
119363 FIRST
119514 FIRST
119147 FIRST
119163 FIRST
119353 FIRST
119516 FIRST
119149 FIRST
119600 FIRST
119151 FIRST
119348 FIRST
119162 FIRST
119596 FIRST
119503 FIRST
120183 FIRST
119345 FIRST
119160 FIRST
119155 FIRST
120184 FIRST
119369 FIRST
119343 FIRST
119354 FIRST
119355 FIRST
119342 FIRST
120181 FIRST
119041 FIRST
119035 FIRST
119595 FIRST
119165 FIRST
119339 FIRST
119143 FIRST
119334 FIRST
119038 FIRST
119347 FIRST
119341 FIRST
120180 FIRST
119352 FIRST
119368 FIRST
119335 FIRST
119358 FIRST
119365 FIRST
119515 FIRST
119597 FIRST
119370 FIRST
119144 FIRST
119032 FIRST
119517 FIRST
119154 FIRST
119333 FIRST
119039 FIRST
119157 FIRST
119361 FIRST
119340 FIRST
119346 FIRST
119329 FIRST
119364 FIRST
119360 FIRST
119037 FIRST
119362 FIRST
120179 FIRST
119148 FIRST
119045 FIRST
120182 FIRST
119094 FIRST
119350 FIRST
119366 FIRST
119040 FIRST
119031 FIRST
119159 FIRST
119356 FIRST
119150 FIRST
119092 FIRST
119036 FIRST
120185 CONDITION_EVENT
119599 FIRST
119337 FIRST
119367 FIRST
120163 FIRST
119349 FIRST
119344 FIRST
119598 FIRST
119351 FIRST
119330 FIRST
120177 FIRST
119336 FIRST
119338 FIRST
119034 FIRST
119158 FIRST
119152 FIRST
120178 FIRST
94664 FIRST
94661 FIRST
96103 FIRST
94658 FIRST
94659 FIRST
96096 FIRST
96105 FIRST
96101 FIRST
96085 FIRST
96090 FIRST
94668 FIRST
96087 FIRST
94670 FIRST
94679 FIRST
94671 FIRST
94676 FIRST
96091 FIRST
94666 FIRST
94663 FIRST
94678 FIRST
96094 FIRST
94677 FIRST
94675 FIRST
94665 FIRST
96099 FIRST
96102 FIRST
96092 FIRST
94662 FIRST
96098 FIRST
94672 FIRST
96088 FIRST
96095 FIRST
96084 FIRST
94660 FIRST
94669 FIRST
96100 FIRST
96104 FIRST
94673 FIRST
94667 FIRST
96089 FIRST
94674 FIRST
96097 FIRST
96086 FIRST
96093 FIRST
93843 FIRST
93792 FIRST
93834 FIRST
93738 FIRST
93789 FIRST
93780 FIRST
93851 FIRST
93771 FIRST
94204 FIRST
93722 FIRST
93779 FIRST
93726 FIRST
93742 FIRST
93778 FIRST
93815 FIRST
94203 FIRST
93853 FIRST
94202 FIRST
93723 FIRST
93740 FIRST
93785 FIRST
93822 FIRST
94201 FIRST
93747 FIRST
93816 FIRST
93775 FIRST
93831 FIRST
93741 FIRST
93784 FIRST
93830 FIRST
93854 FIRST
93847 FIRST
93846 FIRST
94197 FIRST
93824 FIRST
93820 FIRST
93787 FIRST
93720 FIRST
93839 FIRST
93849 FIRST
93773 FIRST
93845 FIRST
93736 FIRST
94195 FIRST
93791 FIRST
94205 FIRST
93844 FIRST
93838 FIRST
93837 FIRST
93819 FIRST
94224 FIRST
93790 FIRST
93776 FIRST
93721 FIRST
94196 FIRST
93745 FIRST
93850 FIRST
93781 FIRST
93772 FIRST
93832 FIRST
93823 FIRST
93828 FIRST
93826 FIRST
93788 FIRST
93786 FIRST
93746 FIRST
93724 FIRST
94200 FIRST
93827 FIRST
94225 FIRST
93841 FIRST
93727 FIRST
93728 FIRST
93821 FIRST
93735 FIRST
93774 FIRST
93825 FIRST
93782 FIRST
93848 FIRST
93836 FIRST
93829 FIRST
93852 FIRST
93783 FIRST
93835 FIRST
93739 FIRST
93842 FIRST
93725 FIRST
93840 FIRST
93833 FIRST
93770 FIRST
93777 FIRST
90308 FIRST
90302 FIRST
89425 FIRST
89429 FIRST
89343 FIRST
89432 FIRST
90313 FIRST
89427 FIRST
89341 FIRST
89439 FIRST
89443 FIRST
90311 FIRST
90304 FIRST
90315 FIRST
90299 FIRST
90314 FIRST
89445 FIRST
90303 FIRST
89440 FIRST
89426 FIRST
89436 FIRST
89424 FIRST
89444 FIRST
89431 FIRST
89441 FIRST
89345 FIRST
89442 FIRST
89438 FIRST
89434 FIRST
89342 FIRST
90316 FIRST
90309 FIRST
89430 FIRST
90317 FIRST
90305 FIRST
90307 FIRST
90298 FIRST
90297 FIRST
89437 FIRST
90300 FIRST
89428 FIRST
89433 FIRST
89344 FIRST
90306 FIRST
90318 FIRST
90301 FIRST
90312 FIRST
89435 FIRST
90310 FIRST
88162 FIRST
88163 FIRST
88713 FIRST
88663 FIRST
88024 FIRST
88158 FIRST
88170 FIRST
88709 FIRST
87856 FIRST
88656 FIRST
88023 FIRST
88710 FIRST
88719 FIRST
88199 FIRST
88166 FIRST
87858 FIRST
88653 FIRST
88649 FIRST
88171 FIRST
88712 FIRST
88666 FIRST
88664 FIRST
88217 FIRST
88215 FIRST
87913 FIRST
88022 FIRST
88028 FIRST
88185 FIRST
