id concurrent_type
179641 TREATMENT_EVENT
179621 TREATMENT_EVENT
179649 TREATMENT_EVENT
179631 TREATMENT_EVENT
179623 TREATMENT_EVENT
179642 TREATMENT_EVENT
178626 TREATMENT_EVENT
178603 TREATMENT_EVENT
179638 TREATMENT_EVENT
179622 TREATMENT_EVENT
179647 Event
178608 Event
179632 Event
178620 TREATMENT_EVENT
179630 Event
178607 TREATMENT_EVENT
178614 TREATMENT_EVENT
178618 TREATMENT_EVENT
179625 TREATMENT_EVENT
178617 TREATMENT_EVENT
178604 TREATMENT_EVENT
178635 TREATMENT_EVENT
179643 TREATMENT_EVENT
178633 Event
178612 Event
179633 TREATMENT_EVENT
178616 TREATMENT_EVENT
179628 Event
178619 TREATMENT_EVENT
179640 TREATMENT_EVENT
178615 Event
178611 Event
179636 TREATMENT_EVENT
179651 TREATMENT_EVENT
178630 TREATMENT_EVENT
178631 TREATMENT_EVENT
178625 TREATMENT_EVENT
178610 Event
178627 TREATMENT_EVENT
178636 Event
178629 TREATMENT_EVENT
179629 Event
179626 TREATMENT_EVENT
178609 TREATMENT_EVENT
179635 TREATMENT_EVENT
178613 Event
179637 TREATMENT_EVENT
179648 TREATMENT_EVENT
178623 TREATMENT_EVENT
179618 TREATMENT_EVENT
179650 Event
179634 TREATMENT_EVENT
179624 TREATMENT_EVENT
179620 TREATMENT_EVENT
178624 TREATMENT_EVENT
179652 Event
178606 TREATMENT_EVENT
179627 Event
177946 TREATMENT_EVENT
177947 TREATMENT_EVENT
177971 Event
177954 TREATMENT_EVENT
177970 Event
177967 TREATMENT_EVENT
177962 Event
177943 TREATMENT_EVENT
177931 TREATMENT_EVENT
177935 TREATMENT_EVENT
177933 Event
177941 TREATMENT_EVENT
177969 Event
177957 TREATMENT_EVENT
177937 TREATMENT_EVENT
177942 TREATMENT_EVENT
177953 TREATMENT_EVENT
177929 TREATMENT_EVENT
177939 Event
177955 TREATMENT_EVENT
177932 Event
177948 TREATMENT_EVENT
177968 TREATMENT_EVENT
177963 TREATMENT_EVENT
177959 Event
177949 TREATMENT_EVENT
177938 TREATMENT_EVENT
177961 TREATMENT_EVENT
177936 TREATMENT_EVENT
177945 TREATMENT_EVENT
177950 TREATMENT_EVENT
177964 TREATMENT_EVENT
177927 TREATMENT_EVENT
177928 TREATMENT_EVENT
177965 Event
177944 TREATMENT_EVENT
177934 Event
177960 Event
177930 Event
177951 TREATMENT_EVENT
177940 Event
177958 Event
177966 TREATMENT_EVENT
177956 Event
177952 TREATMENT_EVENT
140354 Event
140542 Event
140353 CONDITION_EVENT
141495 CONDITION_EVENT
140544 Event
141497 Event
140541 CONDITION_EVENT
140351 CONDITION_EVENT
140543 CONDITION_EVENT
141494 CONDITION_EVENT
140352 Event
141496 CONDITION_EVENT
139206 CONDITION_EVENT
137897 CONDITION_EVENT
139205 CONDITION_EVENT
138001 CONDITION_EVENT
138164 CONDITION_EVENT
139015 TREATMENT_EVENT
138779 CONDITION_EVENT
138476 CONDITION_EVENT
139141 CONDITION_EVENT
137986 CONDITION_EVENT
138477 Event
137980 CONDITION_EVENT
139294 Event
138474 CONDITION_EVENT
138556 Event
137877 CONDITION_EVENT
139016 CONDITION_EVENT
139381 Event
139208 Event
137975 Event
137996 CONDITION_EVENT
139380 CONDITION_EVENT
137985 CONDITION_EVENT
139291 CONDITION_EVENT
138166 CONDITION_EVENT
139293 CONDITION_EVENT
138002 CONDITION_EVENT
139383 Event
138445 CONDITION_EVENT
138075 Event
139207 CONDITION_EVENT
138446 CONDITION_EVENT
138167 Event
139292 CONDITION_EVENT
137898 Event
138782 Event
138007 Event
138073 CONDITION_EVENT
139382 CONDITION_EVENT
137987 Event
138781 CONDITION_EVENT
138475 CONDITION_EVENT
138008 CONDITION_EVENT
137879 CONDITION_EVENT
138074 Event
139142 Event
138009 Event
139014 CONDITION_EVENT
138555 CONDITION_EVENT
137878 CONDITION_EVENT
137997 Event
139017 Event
137998 CONDITION_EVENT
138780 Event
138165 Event
119145 MEASUREMENT_EVENT
119042 MEASUREMENT_EVENT
119161 MEASUREMENT_EVENT
119153 MEASUREMENT_EVENT
119518 MEASUREMENT_EVENT
119156 MEASUREMENT_EVENT
119043 Event
119164 MEASUREMENT_EVENT
119093 MEASUREMENT_EVENT
